fiscal_year,months_of_data,report_url
2069/70,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-08-table-based-on-three-months-data-of-2069-70/
2069/70,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-09-text-based-on-four-months-data-of-2069-70/
2069/70,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-09-table-44-based-on-four-months-data-of-2069-70/
2069/70,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-10-text-based-on-five-months-data-of-2069-70-2/
2069/70,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-10-table-44-based-on-five-months-data-of-2069-70/
2069/70,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-11-text-based-on-six-months-data-of-2069-70/
2069/70,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-11-table-44-based-on-six-months-data-of-2069-70/
2069/70,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-12-text-based-on-seven-months-data-of-2069-70/
2069/70,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-12-table-44-based-on-seven-months-data-of-2069-70/
2069/70,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-01-table-44-based-on-eight-months-data-of-2069-70/
2069/70,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-01-text-based-on-eight-month-data-of-2069-70/
2069/70,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-02-table-44-based-on-nine-months-data-of-2069-70/
2069/70,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-02-text-based-on-nine-months-data-of-2069-70/
2069/70,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-03-tables-44-based-on-ten-months-data-of-2069-70/
2069/70,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-03-text-based-on-ten-months-data-of-2069-70/
2069/70,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-04-text-based-on-eleven-month-data-of-2069-70/
2069/70,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-04-tables-44-based-on-eleven-months-data-of-2069-70/
2069/70,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-05-tables-50-based-on-annual-data-of-2069-70/
2069/70,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-05-text-based-on-annual-data-of-2069-70/
2069/70,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-06-table-based-on-first-data-of-2069-70/
2069/70,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-06-text-based-on-first-month-data-of-2069-70/
2070/71,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-07-text-based-on-two-months-data-of-2070-71/
2070/71,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-07-tables-44-based-on-two-months-data-of-2070-71/
2070/71,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-08-text-based-on-three-months-data-of-2070-71/
2070/71,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-08-tables-44-based-on-three-months-data-of-2070-71/
2070/71,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-09-text-based-on-four-months-data-of-2070-71/
2070/71,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-09-tables-44-based-on-four-months-data-of-2070-71/
2070/71,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-10-tables-44-based-on-five-months-data-of-2070-71/
2070/71,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-10-text-based-on-five-months-data-of-2070-71/
2070/71,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-11-tables-based-on-six-months-data-of-2070-71/
2070/71,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-11-text-based-on-six-months-data-of-2070-71/
2070/71,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-12-tables-based-on-seven-months-data-of-2070-71/
2070/71,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-12-text-based-on-seven-months-data-of-2070-71/
2070/71,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-01-text-based-on-eight-months-data-of-2070-71/
2070/71,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-01-tables-based-on-eight-months-data-of-2070-71/
2070/71,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-02-text-based-on-nine-months-data-of-2070-71/
2070/71,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-02-tables-44-based-on-nine-months-data-of-2070-71/
2070/71,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-03-tables-44-based-on-ten-months-data-of-2070-71/
2070/71,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-03-text-based-on-ten-months-data-of-2070-71/
2070/71,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-04-tables-44-based-on-eleven-months-data-of-2070-71/
2070/71,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-04-text-based-on-eleven-months-data-of-2070-71/
2070/71,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-05-text-based-on-annual-data-of-2070-71/
2070/71,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-05-tables-50-based-on-annual-data-of-2070-71/
2070/71,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-06-tables-44-based-on-first-month-data-of-2070-71/
2070/71,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2070-06-text-based-on-first-month-data-of-2070-71/
2071/72,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-07-text-based-on-two-months-data-of-2071-72/
2071/72,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-07-tables-45-based-on-two-months-data-of-2071-72/
2071/72,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-08-text-based-on-three-months-data-of-2071-72/
2071/72,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-08-tables-46-based-on-three-months-data-of-2071-72/
2071/72,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-09-text-based-on-four-months-data-of-2071-72/
2071/72,4,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-09-tables-46-based-on-four-months-data-of-2071-72/
2071/72,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-10-text-based-on-first-five-month-data-of-2071-72/
2071/72,5,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-10-tables-based-on-first-five-month-data-of-2071-72/
2071/72,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-11-text-based-on-six-months-data-of-2071-72/
2071/72,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-11-tables-46-based-on-six-months-data-of-2071-72/
2071/72,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-12-text-based-on-seven-months-data-of-2071-72/
2071/72,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-12-tables-46-based-on-seven-months-data-of-2071-72/
2071/72,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-12-text-based-on-eight-months-data-of-2071-72/
2071/72,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-12-tables-46-based-on-eight-months-data-of-2071-72/
2071/72,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-2-text-based-on-nine-months-data-of-2071-72/
2071/72,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-2-tables-46-based-on-nine-months-data-of-2071-72/
2071/72,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-3-text-based-on-ten-months-data-of-2071-72/
2071/72,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-3-tables-46-based-on-ten-months-data-of-2071-72/
2071/72,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-4-text-based-on-eleven-months-data-of-2071-72/
2071/72,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-4-tables-46-based-on-eleven-months-data-of-2071-72/
2071/72,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-5-text-based-on-annual-data-of-2071-72/
2071/72,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-06-text-based-on-first-month-data-of-2071-72/
2071/72,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2071-06-tables-45-based-on-first-month-data-of-2071-72/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-4-text-based-on-the-eleven-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-4-tables-39-based-on-the-eleven-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-3-text-based-on-the-ten-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-3-tables-39-based-on-the-ten-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-2-text-based-on-the-nine-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-2-tables-50-based-on-the-nine-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-1-text-based-on-the-eight-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2073-1-tables-45-based-on-the-eight-months-data-of-2072-73/
